,citycode,Year,Month,Day,Pre
833566,120000,2019,2,13,0
840882,120000,2019,2,14,0
842102,120000,2019,2,15,3.109133937
847258,120000,2019,2,16,0.000988792
853826,120000,2019,2,17,0
858852,120000,2019,2,18,0
865239,120000,2019,2,19,0.554712501
867737,120000,2019,2,20,5.429211559
873025,120000,2019,2,21,0.027871584
877534,120000,2019,2,22,0
880553,120000,2019,2,23,0
886738,120000,2019,2,24,1.103245057
890983,120000,2019,2,25,0.010444119
898410,120000,2019,2,26,0
901443,120000,2019,2,27,0.168094696
906047,120000,2019,2,28,0.122115855
912457,120000,2019,3,1,0
914014,120000,2019,3,2,0.048450824
922642,120000,2019,3,3,0
923828,120000,2019,3,4,0
931392,120000,2019,3,5,0
936883,120000,2019,3,6,0
939827,120000,2019,3,7,0
944056,120000,2019,3,8,0.003769771
950492,120000,2019,3,9,0
955734,120000,2019,3,10,0
958037,120000,2019,3,11,0
961920,120000,2019,3,12,0
969940,120000,2019,3,13,0
974919,120000,2019,3,14,0.137689335
980168,120000,2019,3,15,0
983853,120000,2019,3,16,0.027438987
985176,120000,2019,3,17,0
990135,120000,2019,3,18,0
997303,120000,2019,3,19,0
1002976,120000,2019,3,20,0
1006454,120000,2019,3,21,0
1011173,120000,2019,3,22,0.000617995
1014458,120000,2019,3,23,0
1022317,120000,2019,3,24,0
1027294,120000,2019,3,25,0
1029967,120000,2019,3,26,0
1033155,120000,2019,3,27,0.021506233
1040540,120000,2019,3,28,0.001174191
1044807,120000,2019,3,29,0
1050977,120000,2019,3,30,2.809900616
1056297,120000,2019,3,31,12.05053587
1060582,120000,2019,4,1,15.9175172
1065015,120000,2019,4,2,1.133774028
1066759,120000,2019,4,3,0
1072712,120000,2019,4,4,0
1076002,120000,2019,4,5,0
1083940,120000,2019,4,6,0
1087738,120000,2019,4,7,0
1094558,120000,2019,4,8,0.011741909
1096062,120000,2019,4,9,0.023422019
1102489,120000,2019,4,10,1.173387516
1106712,120000,2019,4,11,7.922513252
1114200,120000,2019,4,12,6.952507972
1115321,120000,2019,4,13,0.010753117
1121835,120000,2019,4,14,0
1128571,120000,2019,4,15,0.080771974
1131294,120000,2019,4,16,0
1136696,120000,2019,4,17,0
1140616,120000,2019,4,18,1.290992003
1145820,120000,2019,4,19,0.005747355
1149878,120000,2019,4,20,0
1157145,120000,2019,4,21,0.022618624
1157981,120000,2019,4,22,0
1163408,120000,2019,4,23,0
1167517,120000,2019,4,24,0
1174492,120000,2019,4,25,0
1180123,120000,2019,4,26,0.012854301
1185953,120000,2019,4,27,4.506235709
1190264,120000,2019,4,28,0.907773173
1194929,120000,2019,4,29,0.002348382
1196191,120000,2019,4,30,6.18E-05
1202967,120000,2019,5,1,16.63544228
1208470,120000,2019,5,2,0.667187639
1210670,120000,2019,5,3,6.18E-05
1215549,120000,2019,5,4,0
1220257,120000,2019,5,5,0.003522573
1226257,120000,2019,5,6,2.356106738
1229738,120000,2019,5,7,1.448457193
1236079,120000,2019,5,8,1.727543816
1241371,120000,2019,5,9,6.107214124
1247739,120000,2019,5,10,19.21229683
1249028,120000,2019,5,11,0.085468738
1256354,120000,2019,5,12,0.017303866
1259259,120000,2019,5,13,0
1262869,120000,2019,5,14,0.06328271
1270824,120000,2019,5,15,0.001853986
1274046,120000,2019,5,16,0
1281448,120000,2019,5,17,11.29565454
1282514,120000,2019,5,18,0.024843407
1290530,120000,2019,5,19,0
1294732,120000,2019,5,20,0
1298501,120000,2019,5,21,0
1303872,120000,2019,5,22,0
1307754,120000,2019,5,23,0
1313274,120000,2019,5,24,0.003275375
1316514,120000,2019,5,25,0
1322012,120000,2019,5,26,0
1326943,120000,2019,5,27,0
1332158,120000,2019,5,28,1.330852702
1337817,120000,2019,5,29,1.235187039
1342107,120000,2019,5,30,0.115997702
1348462,120000,2019,5,31,0.005623756
1350871,120000,2019,6,1,2.064103997
1354361,120000,2019,6,2,0
1358637,120000,2019,6,3,0.012483504
1366770,120000,2019,6,4,7.967812306
1368731,120000,2019,6,5,0.003646172
1372898,120000,2019,6,6,0.049501417
1378723,120000,2019,6,7,0.237742762
1386668,120000,2019,6,8,0.010753117
1387986,120000,2019,6,9,0.369870132
1392516,120000,2019,6,10,15.79774983
1398560,120000,2019,6,11,0.094367868
1403868,120000,2019,6,12,0.037821307
1409761,120000,2019,6,13,0.945841674
1411786,120000,2019,6,14,0.021506233
1417094,120000,2019,6,15,0.154993198
1424887,120000,2019,6,16,0.139914116
1426342,120000,2019,6,17,3.971669823
1431324,120000,2019,6,18,0.237742759
1435124,120000,2019,6,19,6.924265541
1441767,120000,2019,6,20,0
1446163,120000,2019,6,21,0
1449694,120000,2019,6,22,0.271052699
1458416,120000,2019,6,23,0.990213726
1462675,120000,2019,6,24,0.072429038
1463943,120000,2019,6,25,2.75594965
1469506,120000,2019,6,26,1.982466852
1474116,120000,2019,6,27,0.665580846
1478856,120000,2019,6,28,0.495941159
1485401,120000,2019,6,29,4.802935209
1488166,120000,2019,6,30,0.690177047
1495679,120000,2019,7,1,0.060069135
1499994,120000,2019,7,2,0
1503240,120000,2019,7,3,0.000494396
1508251,120000,2019,7,4,4.043357243
1513784,120000,2019,7,5,0.008404735
1517354,120000,2019,7,6,0.031579555
1523961,120000,2019,7,7,0.000185399
1526772,120000,2019,7,8,0
1531646,120000,2019,7,9,6.18E-05
1537858,120000,2019,7,10,0.028983975
1542823,120000,2019,7,11,0.070266056
1545324,120000,2019,7,12,0.000185399
1553254,120000,2019,7,13,0.042703469
1559299,120000,2019,7,14,0.472210144
1560927,120000,2019,7,15,0.140470312
1567542,120000,2019,7,16,16.51239936
1572700,120000,2019,7,17,14.04610433
1577084,120000,2019,7,18,20.70759825
1581723,120000,2019,7,19,5.758355753
1586901,120000,2019,7,20,8.004644822
1589487,120000,2019,7,21,12.42602972
1595138,120000,2019,7,22,3.989529902
1600945,120000,2019,7,23,3.257885374
1604567,120000,2019,7,24,5.461779894
1607490,120000,2019,7,25,0.087075525
1614623,120000,2019,7,26,4.583485078
1619591,120000,2019,7,27,8.099074494
1625416,120000,2019,7,28,2.4002934
1627239,120000,2019,7,29,35.26762721
1633682,120000,2019,7,30,7.666910506
1638051,120000,2019,7,31,1.113132973
1641402,120000,2019,8,1,29.41817875
1647736,120000,2019,8,2,10.8634907
1654417,120000,2019,8,3,23.32511687
1656416,120000,2019,8,4,0
1661793,120000,2019,8,5,0.16939249
1666969,120000,2019,8,6,1.12129051
1673106,120000,2019,8,7,0.653344541
1678104,120000,2019,8,8,0.140532111
1683383,120000,2019,8,9,0.000617995
1684123,120000,2019,8,10,0.795668839
1690061,120000,2019,8,11,0.218584909
1694989,120000,2019,8,12,0.015326281
1702417,120000,2019,8,13,0
1704450,120000,2019,8,14,0.00642715
1711836,120000,2019,8,15,0.001174191
1713424,120000,2019,8,16,0.000123599
1721652,120000,2019,8,17,2.093520558
1724311,120000,2019,8,18,3.246946864
1730680,120000,2019,8,19,4.215407209
1732234,120000,2019,8,20,0.948622648
1739975,120000,2019,8,21,0.044248457
1743325,120000,2019,8,22,3.840036823
1748855,120000,2019,8,23,3.046839966
1755331,120000,2019,8,24,2.025232129
1758977,120000,2019,8,25,3.733247267
1764769,120000,2019,8,26,0.401758689
1768711,120000,2019,8,27,0.189230137
1773353,120000,2019,8,28,1.706902758
1777632,120000,2019,8,29,14.58178249
1780578,120000,2019,8,30,8.530373383
1786292,120000,2019,8,31,15.234509
1794106,120000,2019,9,1,12.28710444
1796953,120000,2019,9,2,0.073788629
1801383,120000,2019,9,3,0.086581131
1805283,120000,2019,9,4,12.95175827
1810653,120000,2019,9,5,1.767280919
1815757,120000,2019,9,6,0.000308998
1821324,120000,2019,9,7,0
1823189,120000,2019,9,8,0
1830403,120000,2019,9,9,0.680289124
1833191,120000,2019,9,10,4.831981009
1839542,120000,2019,9,11,0.092761081
1845259,120000,2019,9,12,0
1847126,120000,2019,9,13,0
1856093,120000,2019,9,14,0
1861056,120000,2019,9,15,0.000741594
1861812,120000,2019,9,16,0
1868260,120000,2019,9,17,0.374381505
1872147,120000,2019,9,18,2.931831087
1876627,120000,2019,9,19,0.041961875
1881498,120000,2019,9,20,0
1887482,120000,2019,9,21,0.001421389
1892909,120000,2019,9,22,1.599062602
1895752,120000,2019,9,23,0.235517976
1899915,120000,2019,9,24,13.87473412
1905488,120000,2019,9,25,0.000185399
1911750,120000,2019,9,26,0.002780978
1918326,120000,2019,9,27,13.08975664
1920246,120000,2019,9,28,6.665263748
1924821,120000,2019,9,29,2.51777429
1931862,120000,2019,9,30,7.137041348
1936962,120000,2019,10,1,0
1939497,120000,2019,10,2,0
1943544,120000,2019,10,3,0
1947509,120000,2019,10,4,0
1954096,120000,2019,10,5,0
1960910,120000,2019,10,6,0
1965786,120000,2019,10,7,0.386308802
1968944,120000,2019,10,8,0
1973652,120000,2019,10,9,0.002719179
1977320,120000,2019,10,10,0.037326911
1984715,120000,2019,10,11,0.003646172
1987276,120000,2019,10,12,0
1994007,120000,2019,10,13,0.053641985
1996476,120000,2019,10,14,0.239967541
2001650,120000,2019,10,15,0
2009094,120000,2019,10,16,0
2010055,120000,2019,10,17,0
2019412,120000,2019,10,18,0.000617995
2019770,120000,2019,10,19,0.008033938
2024813,120000,2019,10,20,1.277766903
2032759,120000,2019,10,21,3.216479693
2033919,120000,2019,10,22,10.28399658
2040455,120000,2019,10,23,0.161729348
2045191,120000,2019,10,24,0
2049991,120000,2019,10,25,0.619416602
2054487,120000,2019,10,26,0.205174412
2059693,120000,2019,10,27,0
2065583,120000,2019,10,28,0
2071258,120000,2019,10,29,0
2072932,120000,2019,10,30,0
2080617,120000,2019,10,31,0
2083512,120000,2019,11,1,0
2089170,120000,2019,11,2,0
2095751,120000,2019,11,3,0
2100401,120000,2019,11,4,0
2105301,120000,2019,11,5,4.295931941
2109095,120000,2019,11,6,18.48924257
2112455,120000,2019,11,7,0.542290804
2118878,120000,2019,11,8,0.032135751
2122040,120000,2019,11,9,0.019157852
2125520,120000,2019,11,10,0.437417013
2131316,120000,2019,11,11,0.051170004
2138277,120000,2019,11,12,0.08392375
2140871,120000,2019,11,13,1.460199087
2144855,120000,2019,11,14,0.070513254
2151469,120000,2019,11,15,0.938363932
2157455,120000,2019,11,16,0.000185399
2158480,120000,2019,11,17,0.510216846
2166149,120000,2019,11,18,0.007601341
2172380,120000,2019,11,19,2.363028314
2177131,120000,2019,11,20,5.109584425
2179580,120000,2019,11,21,4.817458124
2185365,120000,2019,11,22,5.201294934
2191469,120000,2019,11,23,0.000247198
2194949,120000,2019,11,24,0.861670721
2200217,120000,2019,11,25,0.015820677
2203860,120000,2019,11,26,0
2209164,120000,2019,11,27,0.000556196
2214508,120000,2019,11,28,0.265799741
2217585,120000,2019,11,29,0.000556196
2221750,120000,2019,11,30,0.18601656
2226670,120000,2019,12,1,0.444462162
2234542,120000,2019,12,2,0.018972453
2236651,120000,2019,12,3,0
2244040,120000,2019,12,4,0
2248963,120000,2019,12,5,0
2252072,120000,2019,12,6,0.099559028
2257485,120000,2019,12,7,0.000803394
2258960,120000,2019,12,8,0.212775752
2267178,120000,2019,12,9,0.081760766
2271961,120000,2019,12,10,0.000247198
2277207,120000,2019,12,11,0
2278104,120000,2019,12,12,0
2283098,120000,2019,12,13,0.273401083
2290980,120000,2019,12,14,0.017180267
2296223,120000,2019,12,15,0
2298374,120000,2019,12,16,0
2303904,120000,2019,12,17,0
2307204,120000,2019,12,18,0
2313291,120000,2019,12,19,0
2317266,120000,2019,12,20,0
2321300,120000,2019,12,21,0
2328171,120000,2019,12,22,0.009269928
2332490,120000,2019,12,23,0.009578926
2337453,120000,2019,12,24,0
2340971,120000,2019,12,25,0
2344826,120000,2019,12,26,0
2351284,120000,2019,12,27,0
2356240,120000,2019,12,28,0
2363008,120000,2019,12,29,0
2366571,120000,2019,12,30,0
2370032,120000,2019,12,31,0
630085,130100,2019,1,1,0
633854,130100,2019,1,2,0
638614,130100,2019,1,3,0
641232,130100,2019,1,4,0.002719179
645474,130100,2019,1,5,0
651830,130100,2019,1,6,0
656745,130100,2019,1,7,0
661647,130100,2019,1,8,0
666544,130100,2019,1,9,0
672158,130100,2019,1,10,0
673913,130100,2019,1,11,0
679724,130100,2019,1,12,0
687366,130100,2019,1,13,0.000247198
690487,130100,2019,1,14,0.000865193
693459,130100,2019,1,15,0.003275375
699566,130100,2019,1,16,0
705566,130100,2019,1,17,0.008219336
711785,130100,2019,1,18,0.001853986
712443,130100,2019,1,19,0
719587,130100,2019,1,20,0
721639,130100,2019,1,21,0
729213,130100,2019,1,22,0
735200,130100,2019,1,23,0
740189,130100,2019,1,24,1.532380916
741932,130100,2019,1,25,0
746556,130100,2019,1,26,0.052653192
752641,130100,2019,1,27,0.000247198
757340,130100,2019,1,28,0.221365885
764004,130100,2019,1,29,0.000617995
767792,130100,2019,1,30,0
770799,130100,2019,1,31,0
775813,130100,2019,2,1,0.00778674
